r_code,region,comm_code,community
1,Western Region,101,Ghana Nungua
1,Western Region,102,Elubo
1,Western Region,103,Elloyin
1,Western Region,104,Asanda-Bobrama
1,Western Region,105,Bobrama
1,Western Region,106,Kikam
1,Western Region,107,Nkroful
1,Western Region,108,Anyaano
1,Western Region,109,Takoradi Gh Commercial Bank
1,Western Region,110,Takoradi Original Pay All Office
1,Western Region,111,Effiakuma
1,Western Region,112,Anaji
1,Western Region,113,Trabuom
1,Western Region,114,Akura Kese
1,Western Region,115,Enso Nyame Ye
1,Western Region,116,Tintim Hwe
1,Western Region,117,Tay Akura
1,Western Region,118,Adum Dominase
1,Western Region,119,Ayiem
1,Western Region,120,Huniso
1,Western Region,121,Prestea
1,Western Region,122,Abosso
1,Western Region,123,Huni Valley
1,Western Region,124,Bompieso
1,Western Region,125,Adahaso-Ahuntem
1,Western Region,126,Krofofrom-Ahuntem
1,Western Region,127,Ntaa Krom-Ahuntam
1,Western Region,128,Tamakloe Agave
1,Western Region,129,Kwadwoda-Kwakuboakrom
1,Western Region,130,Kofi Tuntum-Kwakuboakrom
1,Western Region,132,Adjakaa
1,Western Region,133,Appiatse
1,Western Region,134,Yiwabra
1,Western Region,135,Sefwi Asawinso
1,Western Region,136,Nkwadum
1,Western Region,137,Bibiani
2,Central Region,138,Cape Coast Reg Library
2,Central Region,139,Amanful Reg Adminstration
2,Central Region,140,Amanful Brofoyeduro
2,Central Region,141,Kotokuraba
2,Central Region,142,Moree
2,Central Region,143,Ekumfi Swedru
2,Central Region,144,Nkusukum Opem
2,Central Region,145,Twa Da Primary School
2,Central Region,146,Srafa Kokodo
2,Central Region,147,Gomoa Nduem
2,Central Region,148,Gomoa Mumford
2,Central Region,149,Gomoa Dago
2,Central Region,150,Gomoa Tarkwa
2,Central Region,151,Winneba
2,Central Region,152,Warabeba
2,Central Region,153,Aberful Amadua
2,Central Region,154,Anim Akubrifa
2,Central Region,155,Nkranfo
2,Central Region,156,Agona Adomekua
2,Central Region,157,Agona Gyesikrom
2,Central Region,158,Agona Asafo
2,Central Region,159,Agona Nkum
2,Central Region,160,Breman Asikuma
2,Central Region,161,Abuakuwa
2,Central Region,162,Ajumako Besease
2,Central Region,163,Ajumako Ochiso
2,Central Region,164,Ntonbemu-Nyamebekyere
2,Central Region,165,Akokora John-Nyamebekyere
2,Central Region,166,Nyamebekyere
2,Central Region,167,Assin Endwa
2,Central Region,168,Assin Andoe
2,Central Region,169,Gomoa Obokrom
3,Greater Accra Region,170,Gbegbeyise
3,Greater Accra Region,171,Mamponse
3,Greater Accra Region,172,New Mamprobi (Camara)
3,Greater Accra Region,173,Korle Gonno
3,Greater Accra Region,174,Abossey Okai
3,Greater Accra Region,175,Sukura
3,Greater Accra Region,176,Sahara-Dansoman
3,Greater Accra Region,177,Ussher Town
3,Greater Accra Region,178,Usser Town (Gbese)
3,Greater Accra Region,179,Korle Dudor
3,Greater Accra Region,180,Adedenkpo
3,Greater Accra Region,181,Osu
3,Greater Accra Region,182,Labadi
3,Greater Accra Region,183,South Teshie
3,Greater Accra Region,184,Nungua
3,Greater Accra Region,185,Accra New Town
3,Greater Accra Region,186,Kotobabi
3,Greater Accra Region,187,Pig Farm-Kotobabi
3,Greater Accra Region,188,Abofu-Abelenkpe
3,Greater Accra Region,189,Kaneshie
3,Greater Accra Region,190,Darkuman-Bubuashie
3,Greater Accra Region,191,Doblogonnor
3,Greater Accra Region,192,Odumprala
3,Greater Accra Region,193,Tabora No. 3
3,Greater Accra Region,194,Ashongman Estates
3,Greater Accra Region,195,Aplaku Sampa Valley
3,Greater Accra Region,196,Ashaiman-Old Tulako
3,Greater Accra Region,197,Kpone
3,Greater Accra Region,198,Sakumono
3,Greater Accra Region,199,Oyibi
3,Greater Accra Region,200,Appolonia
3,Greater Accra Region,201,Tema Community Two
3,Greater Accra Region,202,Tema Community Five
3,Greater Accra Region,203,Kpongunor
3,Greater Accra Region,204,Big Ada
4,Volta Region,205,Dzodze-Assemblies Of God
4,Volta Region,206,Dzodze-Ep Primary School
4,Volta Region,207,Dzodze-Pentecost Church
4,Volta Region,208,Laklevikope
4,Volta Region,209,Huive
4,Volta Region,210,Hedzranawo
4,Volta Region,211,Adrakp0-Nyekornakpoe
4,Volta Region,212,Adrakpo Oldtown
4,Volta Region,213,Amevuvorkofe
4,Volta Region,214,Seglakope
4,Volta Region,215,Gakpokofe
4,Volta Region,216,Adidokpoe
4,Volta Region,217,Tsetsekpo
4,Volta Region,218,Mafi Kumase
4,Volta Region,219,Podoe
4,Volta Region,220,Hlefi Avenui
4,Volta Region,221,Taviefe-Avenya
4,Volta Region,222,Fiogbe Shia
4,Volta Region,223,Kpando
4,Volta Region,224,Peki Dzake
4,Volta Region,225,Anfoega Akukome
4,Volta Region,226,Hohoe
4,Volta Region,227,Likpe Kukurantumi
4,Volta Region,228,Agate
4,Volta Region,229,Akpafu Todzi
4,Volta Region,230,Leklebi Duga
4,Volta Region,231,Bodada
4,Volta Region,232,Okrakrom
4,Volta Region,233,Nkwanta
4,Volta Region,234,Kofinyi-Bakpel
4,Volta Region,235,Kpassa
4,Volta Region,236,Damanko
4,Volta Region,237,Nabu
4,Volta Region,238,Dodo Pepesu
5,Eastern Region,239,Subinso
5,Eastern Region,240,Mamanso
5,Eastern Region,241,Akim Achiase
5,Eastern Region,242,Akim Akroso
5,Eastern Region,243,Akim Aduasa
5,Eastern Region,244,Asamankese
5,Eastern Region,245,Krobo Winang
5,Eastern Region,246,Kade
5,Eastern Region,247,Suhum
